2024-06-08 11:29:27,398 INFO    StreamThr :1992 [internal.py:wandb_internal():86] W&B internal server running at pid: 1992, started at: 2024-06-08 11:29:27.398798
2024-06-08 11:29:27,398 DEBUG   HandlerThread:1992 [handler.py:handle_request():146] handle_request: status
2024-06-08 11:29:27,402 INFO    WriterThread:1992 [datastore.py:open_for_write():87] open: C:\Users\86189\ScaML-Experiment\wandb\run-20240608_112927-5nqc6s7r\run-5nqc6s7r.wandb
2024-06-08 11:29:27,402 DEBUG   SenderThread:1992 [sender.py:send():379] send: header
2024-06-08 11:29:27,438 DEBUG   SenderThread:1992 [sender.py:send():379] send: run
2024-06-08 11:29:28,238 INFO    SenderThread:1992 [dir_watcher.py:__init__():211] watching files in: C:\Users\86189\ScaML-Experiment\wandb\run-20240608_112927-5nqc6s7r\files
2024-06-08 11:29:28,238 INFO    SenderThread:1992 [sender.py:_start_run_threads():1124] run started: 5nqc6s7r with start time 1717817367.398797
2024-06-08 11:29:28,245 DEBUG   HandlerThread:1992 [handler.py:handle_request():146] handle_request: check_version
2024-06-08 11:29:28,245 DEBUG   SenderThread:1992 [sender.py:send_request():406] send_request: check_version
2024-06-08 11:29:28,437 DEBUG   HandlerThread:1992 [handler.py:handle_request():146] handle_request: run_start
2024-06-08 11:29:28,445 DEBUG   HandlerThread:1992 [system_info.py:__init__():26] System info init
2024-06-08 11:29:28,445 DEBUG   HandlerThread:1992 [system_info.py:__init__():41] System info init done
2024-06-08 11:29:28,445 INFO    HandlerThread:1992 [system_monitor.py:start():194] Starting system monitor
2024-06-08 11:29:28,445 INFO    SystemMonitor:1992 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-08 11:29:28,445 INFO    HandlerThread:1992 [system_monitor.py:probe():214] Collecting system info
2024-06-08 11:29:28,449 DEBUG   HandlerThread:1992 [system_info.py:probe():150] Probing system
2024-06-08 11:29:28,453 INFO    SystemMonitor:1992 [interfaces.py:start():190] Started cpu monitoring
2024-06-08 11:29:28,457 INFO    SystemMonitor:1992 [interfaces.py:start():190] Started disk monitoring
2024-06-08 11:29:28,465 INFO    SystemMonitor:1992 [interfaces.py:start():190] Started memory monitoring
2024-06-08 11:29:28,471 INFO    SystemMonitor:1992 [interfaces.py:start():190] Started network monitoring
2024-06-08 11:29:28,471 DEBUG   HandlerThread:1992 [system_info.py:_probe_git():135] Probing git
2024-06-08 11:29:28,525 DEBUG   HandlerThread:1992 [system_info.py:_probe_git():143] Probing git done
2024-06-08 11:29:28,525 DEBUG   HandlerThread:1992 [system_info.py:probe():198] Probing system done
